all_orders,all_families,order,family,genus,species,common_name,notes
,lowiaceae,,,,,,
,lythraceae,,,,,,
,macarthuriaceae,,,,,,
,magnoliaceae,,,,,,
,malpighiaceae,,,,,,
,malvaceae,,,,,,
,marantaceae,,,,,,
,marcgraviaceae,,,,,,
,martyniaceae,,,,,,
,maundiaceae,,,,,,
,mayacaceae,,,,,,
,mazaceae,,,,,,
,melanthiaceae,,,,,,
,melastomataceae,,,,,,
,meliaceae,,,,,,
,melianthaceae,,,,,,
,menispermaceae,,,,,,
,menyanthaceae,,,,,,
,metteniusaceae,,,,,,
,microteaceae,,,,,,
,misodendraceae,,,,,,
,mitrastemonaceae,,,,,,
,molluginaceae,,,,,,
,monimiaceae,,,,,,
,montiaceae,,,,,,
,montiniaceae,,,,,,
,moraceae,,,,,,
,moringaceae,,,,,,
,muntingiaceae,,,,,,
,musaceae,,,,,,
,myodocarpaceae,,,,,,
,myricaceae,,,,,,
,myristicaceae,,,,,,
,myrothamnaceae,,,,,,
,myrtaceae,,,,,,
,nanodeaceae,,,,,,
,nartheciaceae,,,,,,
,nelumbonaceae,,,,,,
,nepenthaceae,,,,,,
,neuradaceae,,,,,,
,nitrariaceae,,,,,,
,nothofagaceae,,,,,,
,nyctaginaceae,,,,,,
,nymphaeaceae,,,,,,
,nyssaceae,,,,,,
,ochnaceae,,,,,,
,octoknemaceae,,,,,,
,olacaceae,,,,,,
,oleaceae,,,,,,
,onagraceae,,,,,,
,oncothecaceae,,,,,,
,opiliaceae,,,,,,
,orchidaceae,,,,,,
,orobanchaceae,,,,,,
,oxalidaceae,,,,,,
,paeoniaceae,,,,,,
,pandaceae,,,,,,
,pandanaceae,,,,,,
,papaveraceae,,,,,,
,paracryphiaceae,,,,,,
,passifloraceae,,,,,,
,paulowniaceae,,,,,,
,pedaliaceae,,,,,,
,peltanthera,,,,,,
,penaeaceae,,,,,,
,pennantiaceae,,,,,,
,pentadiplandraceae,,,,,,
,pentaphragmataceae,,,,,,
,pentaphylacaceae,,,,,,
,penthoraceae,,,,,,
,peraceae,,,,,,
,peridiscaceae,,,,,,
,petenaeaceae,,,,,,
,petermanniaceae,,,,,,
,petiveriaceae,,,,,,
,petrosaviaceae,,,,,,
,phellinaceae,,,,,,
,philesiaceae,,,,,,
,philydraceae,,,,,,
,phrymaceae,,,,,,
,phyllanthaceae,,,,,,
,phyllonomaceae,,,,,,
,physenaceae,,,,,,
,phytolaccaceae,,,,,,
,picramniaceae,,,,,,
,picrodendraceae,,,,,,
,piperaceae,,,,,,
,pittosporaceae,,,,,,
,plantaginaceae,,,,,,
,platanaceae,,,,,,
,plocospermataceae,,,,,,
,plumbaginaceae,,,,,,
,poaceae,,,,,,
,podostemaceae,,,,,,
,polemoniaceae,,,,,,
,polygalaceae,,,,,,
,polygonaceae,,,,,,
,pontederiaceae,,,,,,
,portulacaceae,,,,,,
,posidoniaceae,,,,,,
,potamogetonaceae,,,,,,
,primulaceae,,,,,,
,proteaceae,,,,,,
,putranjivaceae,,,,,,
,quillajaceae,,,,,,
,rafflesiaceae,,,,,,
,ranunculaceae,,,,,,
,rapateaceae,,,,,,
,resedaceae,,,,,,
,restionaceae,,,,,,
,rhabdodendraceae,,,,,,
,rhamnaceae,,,,,,
,rhizophoraceae,,,,,,
,ripogonaceae,,,,,,
,roridulaceae,,,,,,
,rosaceae,,,,,,
,rousseaceae,,,,,,
,rubiaceae,,,,,,
,ruppiaceae,,,,,,
,rutaceae,,,,,,
,sabiaceae,,,,,,
,salicaceae,,,,,,
,salvadoraceae,,,,,,
,santalaceae,,,,,,
,sapindaceae,,,,,,
,sapotaceae,,,,,,
,sarcobataceae,,,,,,
,sarcolaenaceae,,,,,,
,sarraceniaceae,,,,,,
,saururaceae,,,,,,
,saxifragaceae,,,,,,
,scheuchzeriaceae,,,,,,
,schisandraceae,,,,,,
,schlegeliaceae,,,,,,
,schoepfiaceae,,,,,,
,scrophulariaceae,,,,,,
,setchellanthaceae,,,,,,
,simaroubaceae,,,,,,
,simmondsiaceae,,,,,,
,siparunaceae,,,,,,
,sladeniaceae,,,,,,
,smilacaceae,,,,,,
,solanaceae,,,,,,
,sphaerosepalaceae,,,,,,
,sphenocleaceae,,,,,,
,stachyuraceae,,,,,,
,staphyleaceae,,,,,,
,stegnospermataceae,,,,,,
,stemonaceae,,,,,,
,stemonuraceae,,,,,,
,stilbaceae,,,,,,
,strasburgeriaceae,,,,,,
,strelitziaceae,,,,,,
,strombosiaceae,,,,,,
,stylidiaceae,,,,,,
,styracaceae,,,,,,
,surianaceae,,,,,,
,symplocaceae,,,,,,
,talinaceae,,,,,,
,tamaricaceae,,,,,,
,tapisciaceae,,,,,,
,tecophilaeaceae,,,,,,
,tetracarpaeaceae,,,,,,
,tetrachondraceae,,,,,,
,tetramelaceae,,,,,,
,tetrameristaceae,,,,,,
,theaceae,,,,,,
,thesiaceae,,,,,,
,thomandersiaceae,,,,,,
,thurniaceae,,,,,,
,thymelaeaceae,,,,,,
,ticodendraceae,,,,,,
,tofieldiaceae,,,,,,
,torricelliaceae,,,,,,
,tovariaceae,,,,,,
,trigoniaceae,,,,,,
,trimeniaceae,,,,,,
,triuridaceae,,,,,,
,trochodendraceae,,,,,,
,tropaeolaceae,,,,,,
,typhaceae,,,,,,
,ulmaceae,,,,,,
,urticaceae,,,,,,
,vahliaceae,,,,,,
,velloziaceae,,,,,,
,verbenaceae,,,,,,
,violaceae,,,,,,
,viscaceae,,,,,,
,vitaceae,,,,,,
,vivianiaceae,,,,,,
,vochysiaceae,,,,,,
,winteraceae,,,,,,
,xanthorrhoeaceae,,,,,,
,xeronemataceae,,,,,,
,ximeniaceae,,,,,,
,xyridaceae,,,,,,
,zingiberaceae,,,,,,
,zosteraceae,,,,,,
,zygophyllaceae,,,,,,
